CompanyAge,Employees,Percent
1,1,0.8333333333333334
1,2,0.08333333333333333
1,3,0.08333333333333333
2,1,0.7142857142857143
2,2,0.14285714285714285
2,6,0.07142857142857142
2,7,0.07142857142857142
3,1,0.2714285714285714
3,3,0.2
3,2,0.14285714285714285
3,5,0.11428571428571428
3,4,0.1
3,8,0.07142857142857142
3,6,0.05714285714285714
3,7,0.04285714285714286
4,1,0.2727272727272727
4,3,0.19318181818181818
4,5,0.13636363636363635
4,6,0.11363636363636363
4,2,0.10227272727272728
4,4,0.06818181818181818
4,8,0.06818181818181818
4,7,0.045454545454545456
5,1,0.23076923076923078
5,2,0.23076923076923078
5,5,0.15384615384615385
5,6,0.13846153846153847
5,4,0.09230769230769231
5,3,0.07692307692307693
5,8,0.046153846153846156
5,7,0.03076923076923077
6,1,0.3
6,2,0.1375
6,3,0.125
6,5,0.1125
6,6,0.1
6,8,0.1
6,4,0.075
6,7,0.05
7,1,0.33070866141732286
7,5,0.15748031496062992
7,3,0.13385826771653545
7,2,0.11023622047244094
7,4,0.11023622047244094
7,8,0.07086614173228346
7,7,0.047244094488188976
7,6,0.03937007874015748
8,8,0.23404255319148937
8,3,0.14893617021276595
8,4,0.14893617021276595
8,1,0.10638297872340426
8,2,0.10638297872340426
8,5,0.10638297872340426
8,6,0.0851063829787234
8,7,0.06382978723404255
9,3,0.5
9,4,0.5
